state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year,ccd_era,prod_efficiency,value_per_colony,numcol_yoy_pct,totalprod_yoy_pct,prodvalue_yoy_pct,stock_ratio,price_volatility,region
NM,6000.0,41,246000.0,108000.0,1.2,295000.0,2003,Pre-CCD,40.99316780536577,49.15847358773538,-45.45454545454546,-49.17355371900827,-44.54887218045113,0.43902260559916423,0.2872861523522033,
NM,8000.0,44,352000.0,127000.0,1.19,419000.0,2004,Pre-CCD,43.994500687414074,52.368453943257094,33.33333333333333,43.08943089430895,42.03389830508475,0.36079442956127966,0.05507570547286129,
NM,7000.0,49,343000.0,113000.0,1.03,353000.0,2005,Pre-CCD,48.993000999857166,50.421368375946294,-12.5,-2.5568181818181768,-15.751789976133656,0.3294451036585899,0.09539392014169468,
NM,7000.0,48,336000.0,104000.0,1.19,400000.0,2006,Post-CCD,47.993143836594776,57.1346950435652,0.0,-2.0408163265306145,13.31444759206799,0.3095228883247371,0.09237604307034025,
NM,6000.0,59,354000.0,138000.0,1.42,503000.0,2007,Post-CCD,58.99016830528245,83.81936343942677,-14.28571428571429,5.35714285714286,25.750000000000007,0.3898294072615614,0.19604421270043493,
NM,6000.0,48,288000.0,95000.0,1.48,426000.0,2008,Post-CCD,47.99200133311115,70.98816863856024,0.0,-18.644067796610166,-15.30815109343936,0.3298599657640078,0.15307950004273424,
NM,7000.0,60,420000.0,143000.0,1.59,668000.0,2009,Post-CCD,59.991429795743464,95.4149407227539,16.666666666666675,45.83333333333333,56.8075117370892,0.3404753798205242,0.0862167810425183,
NM,7000.0,66,462000.0,157000.0,1.58,730000.0,2010,Post-CCD,65.99057277531782,104.2708184545065,0.0,10.000000000000009,9.281437125748493,0.3398261042725016,0.06082762530298395,
NM,7000.0,56,392000.0,153000.0,1.69,662000.0,2011,Post-CCD,55.9920011426939,94.55792029710041,0.0,-15.151515151515149,-9.31506849315068,0.3903051267726358,0.06082762530298395,
NM,5000.0,52,260000.0,99000.0,3.39,881000.0,2012,Post-CCD,51.98960207958408,176.16476704659067,-28.57142857142857,-33.673469387755105,33.08157099697886,0.380767766277822,1.0147413463538384,
NV,10000.0,46,460000.0,175000.0,1.65,759000.0,1998,Pre-CCD,45.995400459954006,75.89241075892411,,,,0.38043395557835746,,
NV,9000.0,45,405000.0,271000.0,1.54,624000.0,1999,Pre-CCD,44.99500055549383,69.3256304855016,-9.999999999999998,-11.956521739130432,-17.786561264822133,0.6691341502860487,,
NV,10000.0,35,350000.0,95000.0,1.45,508000.0,2000,Pre-CCD,34.996500349965004,50.79492050794921,11.111111111111116,-13.580246913580252,-18.58974358974359,0.2714277959205831,0.10016652800877811,
NV,9000.0,50,450000.0,36000.0,2.14,963000.0,2001,Pre-CCD,49.99444506165982,106.988112431952,-9.999999999999998,28.57142857142858,89.56692913385827,0.07999982222261728,0.37509998667022104,
NV,9000.0,62,558000.0,61000.0,2.67,1490000.0,2002,Pre-CCD,61.99311187645817,165.53716253749585,0.0,24.0,54.724818276220155,0.10931880050394174,0.6117461347105783,
NV,6000.0,64,384000.0,46000.0,2.04,783000.0,2003,Pre-CCD,63.989335110814864,130.47825362439593,-33.333333333333336,-31.182795698924725,-47.4496644295302,0.11979135471001377,0.3385754470326118,
NV,14000.0,55,770000.0,316000.0,1.78,1371000.0,2004,Pre-CCD,54.99607170916363,97.92157703021213,133.33333333333334,100.52083333333334,75.09578544061301,0.4103890774167826,0.4576388678131841,
NV,12000.0,46,552000.0,442000.0,3.11,1717000.0,2005,Pre-CCD,45.996166986084496,143.07141071577368,-14.28571428571429,-28.31168831168831,25.237053245805985,0.8007231870956756,0.704911341943084,
NV,9000.0,37,333000.0,50000.0,3.62,1205000.0,2006,Post-CCD,36.995889345628264,133.8740139984446,-25.0,-39.67391304347826,-29.819452533488644,0.1501496992501524,0.9499649116327049,
NV,10000.0,28,280000.0,67000.0,2.99,837000.0,2007,Post-CCD,27.997200279972002,83.6916308369163,11.111111111111116,-15.915915915915912,-30.53941908713693,0.23928485969692964,0.3345145736735533,
NV,10000.0,29,290000.0,52000.0,1.42,412000.0,2008,Post-CCD,28.997100289971,41.195880411958804,0.0,3.571428571428581,-50.77658303464755,0.17930972651818441,1.1329754336848321,
NY,65000.0,80,5200000.0,2444000.0,0.7,3640000.0,1998,Pre-CCD,79.99876924970386,55.999138474792694,,,,0.469999909615402,,
NY,69000.0,70,4830000.0,2077000.0,0.66,3188000.0,1999,Pre-CCD,69.99898552194895,46.20222895320358,6.153846153846154,-7.115384615384612,-12.417582417582418,0.4300206149025642,,
NY,58000.0,80,4640000.0,2274000.0,0.55,2552000.0,2000,Pre-CCD,79.99862071343597,43.999241392389784,-15.94202898550725,-3.9337474120082816,-19.949811794228356,0.49008610127454716,0.0776745346515402,
NY,53000.0,70,3710000.0,1781000.0,0.79,2931000.0,2001,Pre-CCD,69.99867927020244,55.30084338031358,-8.62068965517241,-20.04310344827587,14.851097178683382,0.48005377896124557,0.12013880860626731,
NY,60000.0,98,5880000.0,2470000.0,1.25,7350000.0,2002,Pre-CCD,97.99836669388843,122.49795836736054,13.207547169811317,58.49056603773586,150.76765609007165,0.42006795577075584,0.355715241918776,
NY,67000.0,72,4824000.0,1640000.0,1.36,6561000.0,2003,Pre-CCD,71.9989253891733,97.92391158340921,11.66666666666667,-17.959183673469393,-10.734693877551017,0.3399667620301074,0.30237945256470955,
NY,64000.0,67,4288000.0,1887000.0,1.36,5832000.0,2004,Pre-CCD,66.99895314135716,91.12357619412197,-4.477611940298509,-11.111111111111116,-11.111111111111116,0.4400651958803181,0.06350852961085988,
NY,59000.0,73,4307000.0,2283000.0,1.34,5771000.0,2005,Pre-CCD,72.99876273283503,97.81190149319504,-7.8125,0.44309701492537545,-1.0459533607681704,0.5300672091787302,0.01154700538379852,
NY,58000.0,64,3712000.0,2376000.0,1.3,4826000.0,2006,Post-CCD,63.998896570748784,83.20546197479354,-1.6949152542372836,-13.814720222892962,-16.374978339975744,0.6400860344595812,0.03055050463304108,
NY,53000.0,57,3021000.0,1843000.0,1.38,4169000.0,2007,Post-CCD,56.99892454859342,78.65889322842965,-8.62068965517241,-18.615301724137932,-13.613758806464983,0.6100626911411151,0.04000000000000158,
NY,50000.0,70,3500000.0,1260000.0,1.65,5775000.0,2008,Post-CCD,69.99860002799944,115.49769004619908,-5.660377358490565,15.855676928169471,38.52242744063326,0.35999989714288655,0.18339392937971935,
NY,45000.0,65,2925000.0,936000.0,1.93,5645000.0,2009,Post-CCD,64.99855558765361,125.44165685206995,-9.999999999999998,-16.428571428571427,-2.251082251082248,0.319999890598328,0.2750151510977779,
NY,45000.0,64,2880000.0,1123000.0,1.96,5645000.0,2010,Post-CCD,63.99857780938201,125.44165685206995,0.0,-1.538461538461533,0.0,0.3899304201630486,0.1709775813764299,
NY,49000.0,56,2744000.0,1235000.0,1.96,5378000.0,2011,Post-CCD,55.99885716618028,109.75286218648598,8.888888888888879,-4.722222222222228,-4.729849424269261,0.4500727222767047,0.017320508075700295,
NY,51000.0,51,2601000.0,988000.0,2.23,5800000.0,2012,Post-CCD,50.99900001960746,113.72326032822886,4.081632653061229,-5.211370262390669,7.846783190777251,0.379853756303823,0.15588457268120032,
OH,18000.0,78,1404000.0,702000.0,0.83,1165000.0,1998,Pre-CCD,77.99566690739404,64.71862674295872,,,,0.49999964387489754,,
OH,20000.0,74,1480000.0,784000.0,0.72,1066000.0,1999,Pre-CCD,73.99630018499074,53.29733513324334,11.111111111111116,5.4131054131054235,-8.49785407725322,0.5297293718044785,,
OH,18000.0,65,1170000.0,585000.0,0.79,924000.0,2000,Pre-CCD,64.99638908949503,51.330481639908896,-9.999999999999998,-20.945945945945944,-13.320825515947465,0.4999995726499379,0.055677643628300195,
OH,18000.0,81,1458000.0,569000.0,1.01,1473000.0,2001,Pre-CCD,80.99550024998611,81.82878728959503,0.0,24.615384615384617,59.41558441558441,0.3902603633330841,0.15132745950421558,
OH,18000.0,70,1260000.0,504000.0,1.44,1814000.0,2002,Pre-CCD,69.9961113271485,100.77217932337092,0.0,-13.580246913580252,23.150033944331305,0.3999996825399345,0.33060550509633085,
OH,15000.0,50,750000.0,278000.0,1.4,1050000.0,2003,Pre-CCD,49.996666888874074,69.99533364442371,-16.666666666666664,-40.476190476190474,-42.11686879823594,0.3706661724451034,0.23755701070129148,
OH,16000.0,58,928000.0,353000.0,1.53,1420000.0,2004,Pre-CCD,57.99637522654834,88.74445347165802,6.666666666666665,23.73333333333334,35.23809523809525,0.3803875211341367,0.06658328118479666,
OH,15000.0,69,1035000.0,580000.0,1.4,1449000.0,2005,Pre-CCD,68.99540030664622,96.59356042930472,-6.25,11.530172413793105,2.042253521126769,0.5603859319942686,0.07505553499465369,
OH,14000.0,56,784000.0,282000.0,1.4,1098000.0,2006,Post-CCD,55.99600028569388,78.42296978787229,-6.666666666666665,-24.251207729468593,-24.22360248447205,0.35969341875839445,0.07505553499465369,
OH,14000.0,61,854000.0,376000.0,1.77,1512000.0,2007,Post-CCD,60.99564316834512,107.99228626526677,0.0,8.92857142857142,37.704918032786885,0.44028051489401065,0.21361959960016255,
